transaction_date,total_value_eth
2026-04-24,8994.09
2026-04-25,524757.97
2026-04-26,618515.47
2026-04-27,2014747.68
2026-04-28,1480597.43
2026-04-29,1939729.73
2026-04-30,1653768.75
2026-05-01,1526195.62
2026-05-02,453325.88
2026-05-03,545363.82
2026-05-04,1763486.82
2026-05-05,1586672.72
2026-05-06,2061236.3
2026-05-07,1855809.69
2026-05-08,1787641.92
2026-05-09,1015112.95
2026-05-10,1584920.51
2026-05-11,1403592.48
2026-05-12,1586960.8
2026-05-13,1769370.85
2026-05-14,1507129.68
2026-05-15,1900931.96
2026-05-16,824147.71
2026-05-17,611310.69
2026-05-18,1840464.43
2026-05-19,1479615.01
2026-05-20,1210855.7
2026-05-21,1218459.62
2026-05-22,1441915.52
2026-05-23,1495223.04
