address,total_eth_volume,tier
0x28c6c06298d514db089934071355e5743bf21d60,3155077.53,Whale
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,959746.68,Whale
0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,949131.98,Whale
0xceb69f6342ece283b2f5c9088ff249b5d0ae66ea,733880.15,Whale
0xa9ac43f5b5e38155a288d1a01d2cbc4478e14573,717026.14,Whale
0x0003b5aa5e30e97fcc596bb5d0f3a75255e08d4e,611809.84,Whale
0xcd531ae9efcce479654c4926dec5f6209531ca7b,532692.4,Whale
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,518650.94,Whale
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,514344.19,Whale
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,513013.02,Whale
0xc2bf398b4805893089ed4eb4fa25cb2e78c0ce87,512371.59,Whale
0xf30ba13e4b04ce5dc4d254ae5fa95477800f0eb0,491017.53,Whale
0x21a31ee1afc51d94c2efccaa2092ad1028285549,470480.64,Whale
0x9696f59e4d72e237be84ffd425dcad154bf96976,464638.39,Whale
0x3606f0f14828cbf4962a284a4bff93bc94b63665,458574.79,Whale
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,356289.86,Whale
0xcffad3200574698b78f32232aa9d63eabd290703,295728.26,Whale
0x46340b20830761efd32832a74d7169b29feb9758,294039.78,Whale
0x1157a2076b9bb22a85cc2c162f20fab3898f4101,268497.5,Whale
0x1c68c3de2b02d9ae478d37c7e6c92a53ff01fc66,266293.04,Whale
0xc8c557506a5240dcec094e614c665ff9ca815b95,252444.49,Whale
0x3260628ae49b28c67958a79a846577fd030d628e,244099.82,Whale
0xb0a27099582833c0cb8c7a0565759ff145113d64,235875.68,Whale
0xc47d0b74331cf27d3bdcb6fa9a758731903f06c1,225627.45,Whale
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,201970.78,Whale
0xa1abfa21f80ecf401bd41365adbb6fef6fefdf09,199262.11,Whale
0xed0c6079229e2d407672a117c22b62064f4a4312,197904.75,Whale
0xe69f81b825d7dc31ee9becef4dbeab5cf30e3abb,183120.0,Whale
0x08e881b3d360a67a07baf47588373164ac29277d,179957.43,Whale
0x7f604d597c15b2e2f60dc645844f68b1d781b752,179711.68,Whale
0xedc7001e99a37c3d23b5f7974f837387e09f9c93,172579.78,Whale
0x0161c59eef4639625b18757790da141aeb9114b5,166022.94,Whale
0x62425cd6bdcb6bfe51558ea465b063486b70dc9f,161619.59,Whale
0x652a2ade712e21b9f83672bde4462c6f8723a30b,154243.78,Whale
0xbd9f00b37957ada869f802d1d6a0c0c4c4ea54ed,143919.36,Whale
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,143302.68,Whale
0xfd9238dcd679316c6a95c08490e049fcaa9c979e,136042.2,Whale
0x549d835356d92983abb76e4cae639f7857963425,131979.62,Whale
0x0d0707963952f2fba59dd06f2b425ace40b492fe,131973.78,Whale
0xe401a6a38024d8f5ab88f1b08cad476ccaca45e8,129190.51,Whale
0x9b0c45d46d386cedd98873168c36efd0dcba8d46,125805.51,Whale
0xcde5d48fca07f9c52300d2e65632dd71ed169b90,121860.95,Whale
0xd08cc19a03eb20d9076b9d7ebe14dbd8c1548890,120188.37,Whale
0x091d1c972cb1648537a2ba78eaba371b1ce18336,118766.97,Whale
0x0c48511102453352fe570370672cd556bf0e63f9,112473.29,Whale
