block_date,avg_daily_gas_price,rolling_7day_avg_gas_price
2026-05-23,104090435.37,165117043.28
2026-05-22,121315847.74,184933200.18
2026-05-21,139457346.87,331698841.05
2026-05-20,195633889.14,367853808.32
2026-05-19,182451774.16,381095319.28
2026-05-18,220934254.15,436932060.33
2026-05-17,191935755.52,520131402.5
2026-05-16,242803533.66,541187064.63
2026-05-15,1148675333.81,535645060.26
2026-05-14,392542117.8,549609738.75
2026-05-13,288324465.87,617960738.74
2026-05-12,573308961.51,655282294.28
2026-05-11,803329649.31,603065520.65
2026-05-10,339325390.48,566993942.56
2026-05-09,204009503.04,546200551.33
2026-05-08,1246428083.26,552659716.01
2026-05-07,870999117.68,435453621.94
2026-05-06,549575354.67,465086496.46
2026-05-05,207791546.1,533903222.77
2026-05-04,550828602.7,666088431.01
2026-05-03,193771651.85,822861768.12
2026-05-02,249223655.84,930511511.22
2026-05-01,425985424.73,951121729.45
2026-04-30,1078429239.32,999837496.6
2026-04-29,1031292438.82,1006627001.43
2026-04-28,1133088003.84,1238167599.71
2026-04-27,1648241962.46,1148280319.19
2026-04-26,947319853.52,1131981357.04
2026-04-25,393495183.45,1136947061.47
2026-04-24,766995794.82,1218675680.4
2026-04-23,1125955773.14,1206444392.32
2026-04-22,2652076626.75,1067754462.58
2026-04-21,503877040.19,705656367.0
2026-04-20,1534149227.43,656776598.74
2026-04-19,982079784.49,458680880.59
2026-04-18,965595515.97,338791656.35
2026-04-17,681376778.25,211871529.95
2026-04-16,155126264.97,128305645.05
2026-04-15,117389957.66,122225671.09
2026-04-14,161718662.39,135003548.11
2026-04-13,147479200.42,132138010.68
2026-04-12,142855214.8,126964059.28
2026-04-11,77154631.12,121927297.45
2026-04-10,96415583.97,126329989.86
2026-04-09,112566447.28,131892914.78
2026-04-08,206835096.77,137601676.6
2026-04-07,141659900.37,134088734.06
2026-04-06,111261540.65,148488661.77
2026-04-05,107597881.98,151958437.71
2026-04-04,107973477.99,154072504.53
2026-04-03,135356058.42,148846008.17
2026-04-02,152527780.04,148296543.15
2026-04-01,182244498.99,139417483.22
2026-03-31,242459394.3,123935212.87
2026-03-30,135549972.22,100717454.55
2026-03-29,122396349.72,101683114.92
2026-03-28,71388003.47,181492372.31
2026-03-27,131509803.34,177102913.11
2026-03-26,90374360.52,171891181.06
2026-03-25,73868606.53,178113553.52
2026-03-24,79935086.06,188344801.47
2026-03-23,142309594.79,192782895.05
2026-03-22,681061151.49,201380363.88
2026-03-21,40661789.01,110044265.9
2026-03-20,95027679.05,109503281.24
2026-03-19,133930967.71,120503625.16
2026-03-18,145487342.21,117211841.79
2026-03-17,111001741.1,112591368.99
2026-03-16,202491876.59,111936994.23
2026-03-15,41708465.63,96485293.79
2026-03-14,36874896.38,96086885.36
2026-03-13,172030086.53,96674450.42
2026-03-12,110888484.08,88169955.66
2026-03-11,113144032.65,87506289.31
2026-03-10,106421117.75,98883041.64
2026-03-09,94329973.5,104741930.39
2026-03-08,38919606.61,114847350.42
2026-03-07,40987851.8,117622254.07
2026-03-06,112498623.26,123381196.78
2026-03-05,106242819.61,120579645.19
2026-03-04,192781298.92,120547435.59
2026-03-03,147433339.05,113439362.12
2026-03-02,165067913.69,104981992.95
2026-03-01,58343932.12,87384338.67
2026-02-28,81300450.81,92224406.43
2026-02-27,92887762.16,94409197.55
2026-02-26,106017352.35,94789556.4
2026-02-25,143024784.68,91046957.75
2026-02-24,88231754.85,65058044.28
2026-02-23,41884333.71,41884333.71
