block_date,avg_daily_gas_price,rolling_7day_avg_gas_price
2026-05-22,121315847.7402401,184933200.1784218
2026-05-21,139457346.87447703,331698841.04505706
2026-05-20,195633889.13670585,367853808.32076883
2026-05-19,182451774.1595872,381095319.28238195
2026-05-18,220934254.15268865,436932060.33252424
2026-05-17,191935755.52466571,520131402.4976396
2026-05-16,242803533.66058812,541187064.63448381
2026-05-15,1148675333.8066866,535645060.26035553
2026-05-14,392542117.80445981,549609738.7543689
2026-05-13,288324465.86799765,617960738.73611856
2026-05-12,573308961.510583,655282294.27883184
2026-05-11,803329649.30849612,603065520.64869273
2026-05-10,339325390.48257518,566993942.56117094
2026-05-09,204009503.04169023,546200551.327343
2026-05-08,1246428083.2647803,552659716.01286352
2026-05-07,870999117.67670715,435453621.93714416
2026-05-06,549575354.66699123,465086496.45820528
2026-05-05,207791546.09960902,533903222.76526845
2026-05-04,550828602.69584346,666088431.01355922
2026-05-03,193771651.84577972,822861768.12262189
2026-05-02,249223655.84033352,930511511.218558
2026-05-01,425985424.734745,951121729.44816959
2026-04-30,1078429239.3241351,999837496.60318482
2026-04-29,1031292438.8164334,1006627001.4341497
2026-04-28,1133088003.8376443,1238167599.7109714
2026-04-27,1648241962.4592824,1148280319.1905842
2026-04-26,947319853.5173316,1131981357.0430839
2026-04-25,393495183.44761509,1136947061.467895
2026-04-24,766995794.8198514,1218675680.4002872
2026-04-23,1125955773.14089,1206444392.3185267
2026-04-22,2652076626.7541852,1067754462.5803733
2026-04-21,503877040.19493306,705656366.99610376
2026-04-20,1534149227.4267814,656776598.73823678
2026-04-19,982079784.49100888,458680880.59415185
2026-04-18,965595515.97436047,338791656.35249162
2026-04-17,681376778.247528,211871529.94533059
2026-04-16,155126264.9738161,128305645.04822026
2026-04-15,117389957.66429883,122225671.09132572
2026-04-14,161718662.38986403,135003548.10670793
2026-04-13,147479200.41818687,132138010.6750627
2026-04-12,142855214.79938698,126964059.27975686
2026-04-11,77154631.124233454,121927297.44800818
2026-04-10,96415583.967755541,126329989.85708162
2026-04-09,112566447.27555427,131892914.77944411
2026-04-08,206835096.77197435,137601676.60315284
2026-04-07,141659900.36834744,134088734.0626249
2026-04-06,111261540.651046,148488661.76677194
2026-04-05,107597881.97714616,151958437.70568863
2026-04-04,107973477.98774758,154072504.52620468
2026-04-03,135356058.42429295,148846008.16647595
2026-04-02,152527780.04151532,148296543.15495798
2026-04-01,182244498.9882789,139417483.22342616
2026-03-31,242459394.2973766,123935212.87244073
2026-03-30,135549972.22346279,100717454.55311789
2026-03-29,122396349.72075856,101683114.91972338
2026-03-28,71388003.4696465,181492372.31479415
2026-03-27,131509803.34366722,177102913.1060999
2026-03-26,90374360.520792514,171891181.06468996
2026-03-25,73868606.5313809,178113553.52095732
2026-03-24,79935086.062116712,188344801.47448274
2026-03-23,142309594.78970122,192782895.0508076
2026-03-22,681061151.486254,201380363.87939733
2026-03-21,40661789.0087867,110044265.90060447
2026-03-20,95027679.053797811,109503281.23944922
2026-03-19,133930967.71466397,120503625.16398036
2026-03-18,145487342.2060588,117211841.78724466
2026-03-17,111001741.09639078,112591368.9938933
2026-03-16,202491876.5898293,111936994.23008321
2026-03-15,41708465.634703986,96485293.788110822
2026-03-14,36874896.380699866,96086885.356489882
2026-03-13,172030086.52551585,96674450.416725144
2026-03-12,110888484.07751405,88169955.664698839
2026-03-11,113144032.65259923,87506289.312648863
2026-03-10,106421117.74972019,98883041.636407852
2026-03-09,94329973.496022552,104741930.39421938
2026-03-08,38919606.6133574,114847350.42174296
2026-03-07,40987851.802346691,117622254.06504896
2026-03-06,112498623.26133174,123381196.7805606
2026-03-05,106242819.61316419,120579645.19430397
2026-03-04,192781298.91891223,120547435.58536915
2026-03-03,147433339.05440083,113439362.123103
2026-03-02,165067913.68868759,104981992.95049007
2026-03-01,58343932.116499484,91345027.249874637
2026-02-28,81300450.810928166,89391963.338598654
2026-02-27,92887762.1575353,90740548.759877071
2026-02-26,106017352.35062046,90311106.080345422
2026-02-25,143024784.68304911,86384544.512776658
2026-02-24,88231754.846110418,67504464.456019178
2026-02-23,69609153.784379542,57140819.260973558
2026-02-22,44672484.737567566,44672484.737567566
