provider_id,provider_name,average_markup_ratio
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,18.56
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,14.41
310092,CAPITAL HEALTH SYSTEM-FULD CAMPUS,12.15
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,11.96
50336,LODI MEMORIAL HOSPITAL,11.71
310024,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,11.7
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,11.47
100122,NORTH OKALOOSA MEDICAL CENTER,11.4
50118,DOCTORS HOSPITAL OF MANTECA,11.09
10139,BROOKWOOD MEDICAL CENTER,10.95
