provider_state,avg_state_cost,cost_rank
AK,16229.66,1
MD,14609.44,2
HI,14309.72,3
DC,14296.89,4
CA,13503.32,5
NY,13152.35,6
WY,12991.32,7
VT,12283.15,8
CT,12232.52,9
MA,11770.61,10
NM,11488.69,11
NJ,11399.63,12
OR,11357.58,13
NV,11045.03,14
WA,10946.94,15
RI,10941.6,16
AZ,10898.89,17
MN,10832.4,18
DE,10525.5,19
CO,10510.1,20
IL,10455.58,21
NH,10141.89,22
UT,10125.04,23
NE,10113.36,24
TX,10086.59,25
ID,10049.37,26
MI,10048.62,27
PA,10047.97,28
ME,9929.48,29
OH,9700.93,30
MT,9665.71,31
LA,9654.07,32
WI,9638.95,33
GA,9536.45,34
MO,9531.6,35
ND,9521.07,36
VA,9485.87,37
SC,9469.33,38
IN,9448.57,39
NC,9427.42,40
FL,9423.44,41
SD,9334.58,42
KS,9269.82,43
WV,9261.39,44
OK,9237.38,45
IA,9133.67,46
KY,9078.46,47
MS,8961.61,48
TN,8785.16,49
AR,8563.08,50
AL,8350.72,51
