provider_id,provider_name,drg_definition,average_covered_charges,national_avg,national_stddev,z_score
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,638 - DIABETES W CC,285561.0,25569.94,15125.43,17.19
260141,UNIVERSITY OF MISSOURI HEALTH CARE,982 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,851762.0,87373.59,53491.85,14.29
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",164428.0,20572.61,12011.2,11.98
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,186077.0,24340.2,13721.71,11.79
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,244455.0,32560.41,19735.9,10.74
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",147190.0,20572.61,12011.2,10.54
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,187867.0,26533.35,15378.75,10.49
50441,STANFORD HOSPITAL,206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,208514.0,27380.6,17598.14,10.29
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,377 - G.I. HEMORRHAGE W MCC,349632.0,52147.46,29312.85,10.15
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,119205.0,17906.44,10096.01,10.03
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,603 - CELLULITIS W/O MCC,144329.0,21854.25,12221.92,10.02
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,215108.0,31252.13,18605.87,9.88
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,378 - G.I. HEMORRHAGE W CC,183309.0,29235.47,15671.47,9.83
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,682 - RENAL FAILURE W MCC,280283.0,42782.33,24742.02,9.6
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,390 - G.I. OBSTRUCTION W/O CC/MCC,123201.0,19850.54,10801.77,9.57
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,683 - RENAL FAILURE W CC,169136.0,26769.67,15086.66,9.44
50367,NORTHBAY MEDICAL CENTER,812 - RED BLOOD CELL DISORDERS W/O MCC,149282.0,24619.84,13324.47,9.36
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,603 - CELLULITIS W/O MCC,134833.0,21854.25,12221.92,9.24
50441,STANFORD HOSPITAL,153 - OTITIS MEDIA & URI W/O MCC,147200.0,23334.81,13576.31,9.12
190176,TULANE MEDICAL CENTER,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,347714.0,56565.73,32188.66,9.05
50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,551 - MEDICAL BACK PROBLEMS W MCC,297998.0,48547.54,27610.27,9.03
50464,DOCTORS MEDICAL CENTER,176 - PULMONARY EMBOLISM W/O MCC,165846.0,28824.33,15389.1,8.9
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,128043.0,21364.35,12031.29,8.87
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,812 - RED BLOOD CELL DISORDERS W/O MCC,139585.0,24619.84,13324.47,8.63
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,124339.0,21364.35,12031.29,8.56
50464,DOCTORS MEDICAL CENTER,303 - ATHEROSCLEROSIS W/O MCC,114847.0,21237.57,11053.71,8.47
390290,HAHNEMANN UNIVERSITY HOSPITAL,389 - G.I. OBSTRUCTION W CC,150521.0,27042.76,14617.33,8.45
