state,avg_inpatient_payment,avg_drug_cost,regional_cost_correlation
AK,21537.31,2740.21,0.05
DC,18965.03,4710.81,0.05
CA,17076.38,4162.25,0.05
HI,17048.82,4314.97,0.05
NY,16622.0,4557.77,0.05
MD,16159.5,3810.08,0.05
CT,15170.11,4257.18,0.05
VT,14954.94,3185.55,0.05
OR,14875.15,2967.27,0.05
WA,14773.04,2999.24,0.05
MN,14728.43,3161.84,0.05
UT,14716.35,3246.0,0.05
MA,14636.0,3577.54,0.05
DE,14146.76,4567.68,0.05
NV,13787.15,3538.55,0.05
NJ,13781.08,4582.82,0.05
AZ,13626.91,3624.2,0.05
CO,13536.54,3186.22,0.05
ND,13415.5,2973.06,0.05
RI,13196.36,3425.18,0.05
MI,13122.94,3874.52,0.05
NH,12855.79,3125.33,0.05
PA,12842.9,3939.32,0.05
NE,12828.79,3073.43,0.05
ID,12822.14,3025.08,0.05
WI,12801.62,3444.5,0.05
NC,12659.43,3831.74,0.05
IL,12632.71,3601.15,0.05
NM,12590.53,3070.86,0.05
TX,12506.21,4389.69,0.05
WY,12460.55,2581.23,0.05
VA,12428.99,3468.32,0.05
SD,12310.52,3092.2,0.05
SC,12103.91,4023.63,0.05
MO,11957.31,4097.43,0.05
OH,11913.43,4043.11,0.05
GA,11913.13,4190.69,0.05
IN,11813.22,4012.31,0.05
KS,11669.49,3304.91,0.05
MT,11588.9,2952.38,0.05
KY,11562.52,3878.38,0.05
ME,11463.92,3218.22,0.05
OK,11444.7,3787.86,0.05
FL,11419.81,4325.62,0.05
IA,11287.28,2959.21,0.05
WV,11247.01,3777.3,0.05
TN,11189.28,3859.4,0.05
LA,11082.91,4021.8,0.05
MS,10656.84,3611.08,0.05
AR,10310.77,3424.65,0.05
AL,10089.68,4260.64,0.05
