provider_id,provider_name,average_markup_ratio
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,18.557070831970861
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,14.41246433100298
310092,CAPITAL HEALTH SYSTEM-FULD CAMPUS,12.146073552035176
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,11.955867093862938
50336,LODI MEMORIAL HOSPITAL,11.706733325209914
310024,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,11.703407763342147
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,11.468769058832123
100122,NORTH OKALOOSA MEDICAL CENTER,11.402171720209488
50118,DOCTORS HOSPITAL OF MANTECA,11.085841093384715
10139,BROOKWOOD MEDICAL CENTER,10.947513641684857
