provider_state,avg_state_cost,cost_rank
AK,16229.661904761904,1
MD,14609.439509715092,2
HI,14309.724646464647,3
DC,14296.885714285716,4
CA,13503.322633034144,5
NY,13152.346197852939,6
WY,12991.32,7
VT,12283.153333333334,8
CT,12232.520534573985,9
MA,11770.605827067671,10
NM,11488.691201079622,11
NJ,11399.626467013648,12
OR,11357.583064062375,13
NV,11045.032539682539,14
WA,10946.939602860906,15
RI,10941.6,16
AZ,10898.886279912369,17
MN,10832.40312378471,18
DE,10525.5,19
CO,10510.102436868687,20
IL,10455.577284424013,21
NH,10141.892307692307,22
UT,10125.037950520968,23
NE,10113.36255433593,24
TX,10086.59363010889,25
ID,10049.372222222222,26
MI,10048.6173525135,27
PA,10047.973154214393,28
ME,9929.4762254901962,29
OH,9700.9310092201686,30
MT,9665.7144444444439,31
LA,9654.0700027211042,32
WI,9638.9485040358231,33
GA,9536.4509089747717,34
MO,9531.6034645619729,35
ND,9521.0666666666675,36
VA,9485.8714064166434,37
SC,9469.3259882715611,38
IN,9448.5678032920114,39
NC,9427.41590339954,40
FL,9423.4362818347654,41
SD,9334.57722222222,42
KS,9269.8185434173665,43
WV,9261.3931665119817,44
OK,9237.384715610382,45
IA,9133.67119047619,46
KY,9078.4624145108537,47
MS,8961.613910692482,48
TN,8785.15950860494,49
AR,8563.0786324786332,50
AL,8350.7204536756872,51
