provider_id,provider_name,drg_definition,average_covered_charges,national_avg,national_stddev,z_score
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,638 - DIABETES W CC,285561.0,25569.94424019607,15125.425915228323,17.189007252882984
260141,UNIVERSITY OF MISSOURI HEALTH CARE,982 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,851762.0,87373.586605080869,53491.847610151686,14.28981139267759
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",164428.0,20572.610394685409,12011.19906789891,11.976771743778855
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,186077.0,24340.197428833773,13721.708985017203,11.786928490304478
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,244455.0,32560.410233393191,19735.902426834928,10.736503717128917
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",147190.0,20572.610394685409,12011.19906789891,10.541611115555632
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,187867.0,26533.351241351254,15378.754034718619,10.490683991331592
50441,STANFORD HOSPITAL,206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,208514.0,27380.6037151703,17598.138648156444,10.292758791498951
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,377 - G.I. HEMORRHAGE W MCC,349632.0,52147.463966646785,29312.845753163092,10.148606468931876
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,119205.0,17906.443887775506,10096.011039843868,10.033522716293607
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,603 - CELLULITIS W/O MCC,144329.0,21854.25065963063,12221.918817068266,10.020910069319868
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,215108.0,31252.134320735415,18605.867737450517,9.88160661322951
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,378 - G.I. HEMORRHAGE W CC,183309.0,29235.466994669961,15671.469086273421,9.8314671175456336
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,682 - RENAL FAILURE W MCC,280283.0,42782.329201101871,24742.016469982816,9.59908304511217
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,390 - G.I. OBSTRUCTION W/O CC/MCC,123201.0,19850.536529680394,10801.771430516665,9.56791801558943
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,683 - RENAL FAILURE W CC,169136.0,26769.665987780038,15086.656177247392,9.4365731106755533
50367,NORTHBAY MEDICAL CENTER,812 - RED BLOOD CELL DISORDERS W/O MCC,149282.0,24619.843781094525,13324.465436415285,9.3558842426960176
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,603 - CELLULITIS W/O MCC,134833.0,21854.25065963063,12221.918817068266,9.2439453273565562
50441,STANFORD HOSPITAL,153 - OTITIS MEDIA & URI W/O MCC,147200.0,23334.808035714283,13576.314108242892,9.1236244960685351
190176,TULANE MEDICAL CENTER,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,347714.0,56565.734285714258,32188.661930317936,9.0450564967429816
50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,551 - MEDICAL BACK PROBLEMS W MCC,297998.0,48547.539634146357,27610.271935737917,9.034697700422587
50464,DOCTORS MEDICAL CENTER,176 - PULMONARY EMBOLISM W/O MCC,165846.0,28824.325526932091,15389.097749382297,8.9038146813102035
